instance,number_of_cities,number_of_runs,initial_temperature,minimum_temperature,cooling_rate,max_iterations,operator,best_run,best_route_seed,best_sa_seed,best_cost,worst_cost,mean_cost,median_cost,cost_standard_deviation,mean_execution_time,mean_improvement_percentage,best_route
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,create_swap_neighbor,15,ROUTE-15,SA-15,5188.956245014745,7219.184685145767,5915.069382503413,5769.735247459659,499.7382580923948,0.025358233333099632,57.05405421194981,"[0, 24, 10, 13, 5, 15, 2, 4, 14, 22, 21, 20, 6, 9, 16, 7, 19, 3, 12, 8, 1, 17, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,create_insertion_neighbor,11,ROUTE-11,SA-11,4799.222373253414,6080.42528302713,5390.680803381389,5413.445586447737,351.39078039034723,0.020625469999504275,60.82732583236538,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 19, 3, 12, 8, 1, 17, 11, 18, 23, 7, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,create_two_opt_neighbor,8,ROUTE-08,SA-08,4633.541420357001,5388.545570024215,4922.580346686505,4872.7993221613,240.96920002532826,0.022109576667814206,64.26806982606092,"[0, 23, 18, 11, 17, 1, 8, 12, 3, 19, 7, 16, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 10, 24]"
