instance,number_of_cities,number_of_runs,initial_temperature,minimum_temperature,cooling_rate,max_iterations,run,operator,route_seed,sa_seed,initial_cost,best_cost,improvement_percentage,execution_time,best_route
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,1,create_swap_neighbor,ROUTE-01,SA-01,12625.148729249478,5732.647215270215,54.59342825808435,0.016588800004683435,"[0, 23, 1, 8, 12, 3, 19, 17, 18, 11, 7, 21, 22, 14, 4, 16, 10, 13, 20, 2, 15, 5, 6, 9, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,2,create_swap_neighbor,ROUTE-02,SA-02,14396.908468691281,6685.844658776545,53.56055313322203,0.018861099990317598,"[0, 24, 13, 9, 20, 2, 21, 16, 17, 1, 18, 11, 22, 14, 4, 15, 5, 6, 10, 12, 8, 3, 19, 7, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,3,create_swap_neighbor,ROUTE-03,SA-03,13941.062500324128,5735.377097705849,58.85982795376964,0.016083900001831353,"[0, 10, 16, 12, 8, 14, 4, 22, 21, 7, 19, 3, 1, 17, 11, 18, 23, 24, 9, 6, 5, 15, 2, 20, 13]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,4,create_swap_neighbor,ROUTE-04,SA-04,17123.456300488113,6589.882955061606,61.51546253618343,0.017741899995598942,"[0, 17, 1, 19, 3, 8, 12, 2, 15, 5, 23, 18, 11, 7, 16, 21, 14, 22, 4, 20, 10, 13, 9, 6, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,5,create_swap_neighbor,ROUTE-05,SA-05,14304.222063416333,6263.651268612644,56.21117149298036,0.016738699996494688,"[0, 16, 21, 20, 15, 2, 22, 19, 7, 11, 18, 17, 1, 3, 12, 8, 14, 4, 5, 6, 9, 13, 10, 24, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,6,create_swap_neighbor,ROUTE-06,SA-06,13370.923812618563,5300.237542138636,60.35997499935918,0.017402500001480803,"[0, 7, 23, 18, 11, 17, 1, 8, 12, 3, 19, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 16, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,7,create_swap_neighbor,ROUTE-07,SA-07,11678.256544545548,6088.951109229534,47.8607865309018,0.017754600004991516,"[0, 23, 11, 18, 1, 17, 19, 7, 16, 20, 21, 22, 14, 4, 2, 15, 5, 6, 9, 13, 12, 8, 3, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,8,create_swap_neighbor,ROUTE-08,SA-08,16001.49995317268,5958.69996886641,62.761616184081824,0.017749999999068677,"[0, 23, 11, 18, 17, 1, 8, 12, 21, 20, 5, 15, 2, 4, 14, 22, 6, 9, 13, 16, 3, 19, 7, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,9,create_swap_neighbor,ROUTE-09,SA-09,13508.691827789806,5781.104511603953,57.20455699706479,0.016774999996414408,"[0, 24, 13, 6, 9, 10, 7, 23, 18, 11, 17, 1, 3, 19, 16, 21, 12, 8, 22, 14, 4, 2, 15, 5, 20]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,10,create_swap_neighbor,ROUTE-10,SA-10,12710.0957911338,6202.974476867573,51.19647736097638,0.016884199998457916,"[0, 24, 23, 18, 11, 7, 19, 16, 10, 9, 6, 2, 4, 14, 22, 21, 12, 8, 1, 17, 3, 20, 15, 5, 13]"
